xlabel Input Value (radians)
ylabel Output Value
title Plots of sin() and cos() curves

0.0 0.0 1
0.0 1.0 2
0.17453292519943295 0.17364817766693033 1
0.17453292519943295 0.984807753012208 2
0.3490658503988659 0.3420201433256687 1
0.3490658503988659 0.9396926207859084 2
0.5235987755982988 0.49999999999999994 1
0.5235987755982988 0.8660254037844387 2
0.6981317007977318 0.6427876096865393 1
0.6981317007977318 0.766044443118978 2
0.8726646259971648 0.766044443118978 1
0.8726646259971648 0.6427876096865394 2
1.0471975511965976 0.8660254037844386 1
1.0471975511965976 0.5000000000000001 2
1.2217304763960306 0.9396926207859083 1
1.2217304763960306 0.3420201433256688 2
1.3962634015954636 0.984807753012208 1
1.3962634015954636 0.17364817766693041 2
1.5707963267948966 1.0 1
1.5707963267948966 6.123233995736766e-17 2
1.7453292519943295 0.984807753012208 1
1.7453292519943295 -0.1736481776669303 2
1.9198621771937625 0.9396926207859084 1
1.9198621771937625 -0.3420201433256687 2
2.0943951023931953 0.8660254037844387 1
2.0943951023931953 -0.4999999999999998 2
2.2689280275926285 0.766044443118978 1
2.2689280275926285 -0.6427876096865394 2
2.443460952792061 0.6427876096865395 1
2.443460952792061 -0.7660444431189779 2
2.6179938779914944 0.49999999999999994 1
2.6179938779914944 -0.8660254037844387 2
2.792526803190927 0.3420201433256689 1
2.792526803190927 -0.9396926207859083 2
2.96705972839036 0.1736481776669307 1
2.96705972839036 -0.984807753012208 2
3.141592653589793 1.2246467991473532e-16 1
3.141592653589793 -1.0 2
3.316125578789226 -0.17364817766693003 1
3.316125578789226 -0.9848077530122081 2
3.490658503988659 -0.34202014332566866 1
3.490658503988659 -0.9396926207859084 2
3.665191429188092 -0.4999999999999997 1
3.665191429188092 -0.8660254037844388 2
3.839724354387525 -0.6427876096865393 1
3.839724354387525 -0.766044443118978 2
4.014257279586958 -0.7660444431189779 1
4.014257279586958 -0.6427876096865395 2
4.1887902047863905 -0.8660254037844385 1
4.1887902047863905 -0.5000000000000004 2
4.363323129985823 -0.9396926207859082 1
4.363323129985823 -0.3420201433256694 2
4.537856055185257 -0.984807753012208 1
4.537856055185257 -0.17364817766693033 2
4.71238898038469 -1.0 1
4.71238898038469 -1.8369701987210297e-16 2
4.886921905584122 -0.9848077530122081 1
4.886921905584122 0.17364817766692997 2
5.061454830783555 -0.9396926207859085 1
5.061454830783555 0.34202014332566816 2
5.235987755982989 -0.8660254037844386 1
5.235987755982989 0.5000000000000001 2
5.410520681182422 -0.7660444431189781 1
5.410520681182422 0.6427876096865393 2
5.585053606381854 -0.6427876096865396 1
5.585053606381854 0.7660444431189778 2
5.759586531581287 -0.5000000000000004 1
5.759586531581287 0.8660254037844384 2
5.93411945678072 -0.34202014332566943 1
5.93411945678072 0.9396926207859081 2
6.1086523819801535 -0.1736481776669304 1
6.1086523819801535 0.984807753012208 2
6.283185307179586 -2.4492935982947064e-16 1
6.283185307179586 1.0 2
